Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.856294729087764
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.4982994465818
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.939992962004737
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.897584681397618
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.265352820614368
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.01001733670611
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.67761319425004
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.69506723533574
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.83608438672164
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.496550426491
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.673067165560809
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.30350317565873
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.61582957425298
"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.33099312036482
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.38274086937953
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.97264399779152
Barbados,BRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.475051848593893
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.65136750420831
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.89071932044187
Belize,BLZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.75346463455901
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.98211326561793
Bermuda,BMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.124745932153232
Bhutan,BTN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.05479153201512
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.789012054636089
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.16260485448264
Botswana,BWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.57639091729142
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.562970837578547
British Virgin Islands,VGB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..
Brunei Darussalam,BRN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.72616486759021
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.26444792337858
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.24391866186016
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.47633483230206
Cabo Verde,CPV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.80449531732363
Cambodia,KHM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.58272364852731
Cameroon,CMR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.636415290549962
Canada,CAN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.429657601305934
Cayman Islands,CYM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.77641822923059
Central African Republic,CAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.72290159793216
Chad,TCD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.04928608343727
Channel Islands,CHI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.15023329351136
Chile,CHL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.962096016030856
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.6929006014863
Colombia,COL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.36014067984289
Comoros,COM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.65415614580486
"Congo, Dem. Rep.",COD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.12791372118168
"Congo, Rep.",COG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.27988440285151
Costa Rica,CRI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.56255641347028
Cote d'Ivoire,CIV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.96244737490909
Croatia,HRV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.12860062660076
Cuba,CUB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.0532186639248664
Curacao,CUW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.04109605237913
Cyprus,CYP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.44895560339916
Czechia,CZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.15874802851988
Denmark,DNK,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.34779245340653
Djibouti,DJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.91378440928256
Dominica,DMA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.3983147374291
Dominican Republic,DOM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.81572682273033
